107802	1078	2	2	42	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16	30			1	1
107803	1078	2	3	25	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	10		6	"DAYS PER WEEK"	1	1
107805	1078	1	3	30	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	10		7	"DAYS PER WEEK"	2	2
107901	1079	1	1	40	1	3	"THIGALA"	"KANNADA"	0	0	0	0	0	0	3		4	"DAYS PER WEEK"	2	1
108101	1081	1	1	50	1	3	"ACHARI"	"KANNADA"	0	0	0	0	0	0	16				2	1
108102	1081	2	2	40	1	3	"VISWAKARMA"	"KANNADA"	0	0	0	0	0	0	16				2	2
108104	1081	2	3	18	1	4	"VISHAWAKARMA"	"KANNADA"	0	0	0	0	0	0	10	18			2	2
108301	1083	1	1	60	1	4	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	10	30	5	"HOURS PER DAY"	2	1
108302	1083	2	2	55	1	4	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16	35			2	2
108304	1083	2	3	30	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16		8	"HOURS PER DAY"	2	2
108801	1088	1	1	60	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	8		5	"DAYS PER WEEK"	2	2
108802	1088	2	2	55	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16	30	7	"DAYS PER WEEK"	2	2
108803	1088	1	3	30	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	10		10	"DAYS PER WEEK"	2	2
108804	1088	2	3	25	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16	1	4	"DAYS PER WEEK"	2	2
108901	1089	1	1	45	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	7		8	"HOURS PER DAY"	2	2
108902	1089	2	2	35	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	10	11	6	"HOURS PER DAY"	2	2
108905	1089	1	3	35	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	1	13		7	"HOURS PER DAY"	2	2
108906	1089	2	3	26	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	10	10	4	"HOURS PER DAY"	1	2
109201	1092	1	1	55	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16		8	"HOURS PER DAY"	2	2
109202	1092	2	2	45	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16	18	6	"HOURS PER DAY"	1	1
109401	1094	1	1	37	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	8		9	"HOURS PER DAY"	2	2
109402	1094	2	2	32	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16	15	7	"DAYS PER WEEK"	1	-888
109501	1095	1	1	40	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	8		6	"DAYS PER WEEK"	2	2
109502	1095	2	2	30	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	10		6	"DAYS PER WEEK"	2	2
109505	1095	1	3	70	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16				2	2
109506	1095	2	3	50	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16	35			2	2
109701	1097	1	1	50	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	10		6	"DAYS PER WEEK"	2	2
109702	1097	2	2	40	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	3	18	7	"DAYS PER WEEK"	2	1
109901	1099	1	1	50	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	5		7	"DAYS PER WEEK"	2	1
109902	1099	2	2	45	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16	28	7	"DAYS PER WEEK"	2	1
110301	1103	1	1	50	1	3	"THIGALARU"	"KANNADA"	0	0	0	0	0	0	1		5	"DAYS PER WEEK"	2	2
